leght;n_urns
9;164780
36;130146
36;129343
36;119929
36;119265
36;97957
34;97279
36;96079
34;95047
36;75142
36;57034
75;47057
35;45026
30;36752
18;21388
75;20293
35;12094
32;11851
35;10396
35;10320
57;9870
57;8967
28;8436
36;8157
58;7836
57;7798
29;7617
58;7544
40;7259
43;7059
58;6941
58;6830
58;6680
34;6442
31;6180
58;5838
16;5822
58;5812
38;5256
35;5157
58;5054
58;4642
58;4479
19;4408
58;4297
35;4099
50;3952
35;3822
30;3733
36;3502
46;3348
29;3286
54;3280
36;3143
42;2937
24;2896
57;2568
42;2340
19;2229
43;2138
72;2042
23;1916
38;1896
35;1875
57;1661
31;1460
40;1427
35;1324
29;1223
43;1041
57;984
30;904
43;904
48;885
42;868
35;845
42;785
35;765
40;764
78;681
20;643
78;596
31;584
78;574
36;569
78;552
88;543
35;524
40;475
42;459
49;448
78;400
88;380
88;371
88;365
88;325
88;320
78;312
88;311
88;308
88;305
88;303
88;292
88;277
88;274
37;265
88;263
36;255
88;255
47;253
27;250
48;249
32;238
88;229
88;223
88;221
88;218
88;210
88;197
88;188
78;180
45;168
88;167
34;163
88;136
98;130
78;124
38;119
57;111
78;111
88;110
47;105
78;84
42;81
52;78
39;73
57;69
88;68
34;60
57;60
57;51
45;50
59;48
88;46
47;44
32;42
37;41
78;41
57;38
78;36
57;33
78;30
53;28
57;26
39;23
73;18
57;16
41;14
47;13
42;12
96;8
54;8
41;7
31;5
39;3
96;3
56;2
36;2
56;2
47;1
99;1
57;1
56;1
21;1
56;1
81;1
